# source: https://www.youtube.com/watch?v=aBHABXJ8-tA
# video_id: aBHABXJ8-tA
# fetched: 2026-09-23T11:57:22.026Z
# segments: 1777

[00:00:45] 行います。
[01:46:38] まず同じものなのか、それで、ま、今後、
[01:46:42] ま、えっとですね、ま、再生日ということ
[01:46:45] で、ま、どのような再生日をなされるかお
[01:46:48] 伺いいたします。
[01:46:55] 東川農林課長。
[01:46:59] はい。え、中村委員の質問にお答えいたします。え、まず令
[01:47:03] 7
[01:47:04] 年度昨年度にですね、解体した、え、施設については、え、タワーサイ路
[01:47:09] 2
[01:47:09] 号車ストリスラリストリー、セラリストアの、えっと
[01:47:16] 3つとなっております。
[01:47:19] えっと、そして今年の解体がですはですね
[01:47:22] 、当然昨年度とはですね、え、違う解体で
[01:47:27] 、え、6号車の解体とか、あとは、えっと
[01:47:31] 、基地給水排水管の更新関係、え、とは
[01:47:35] PCBの回収等を予定をしております。で
[01:47:41] 、えっと、今後どうしていくかという関係
[01:47:43] の話があったんですけれども、えっと、
[01:47:46] 育成牧場をですね、あの、全体的にですね
[01:47:49] 、え、老朽化が進んでおりますので、えっ
[01:47:53] と、令和7年度、え、昨年度からですね、
[01:47:57] え、同事業、え、団体授業、あと超短の
[01:48:01] ですね、単独授業活用しまして、えっと、
[01:48:05] 令和12年度にかけまして、え、あと装置
[01:48:08] 整備ですとか、え、脱水施設の方針ですと
[01:48:12] か、あと家畜資料庫の施設の家畜、え、
[01:48:17] 資料貯蔵庫の施設の更新、あとくったり
[01:48:21] 報北地のですね、雑用水の更新ですとか、
[01:48:25] えっと、令和7年度から令和12年度で
[01:48:28] 大体継続的にですね、事業費で約28億円
[01:48:32] 程度をかけて更新していく予定となって
[01:48:35] おります。以上であります。
[01:48:40] 中村委員
[01:48:42] はい、ありがとうございます。えっと、令は
[01:48:44] 12
[01:48:44] 年まで、ま、長期的に色々老朽化を、ま、更新していくということで、あの、ま、独段その規模が大きくなるとかということではなく更新していくという形、考え方でよろしいでしょうか?
[01:48:58] 東川農林課長。
[01:49:00] はい。えっと、今言った通り基本的には更新していくという形であります。あとは、ま、その必要に応じて足りないものは当然補っていくという考えであります。
[01:49:10] 以上であります。
[01:49:13] 他にありませんか?若杉委員。
[01:49:22] はい、一点だけ質問させていただきます。え、
[01:49:25] 168
[01:49:27] ページオガス紹介機量理解促進事業補助金。
[01:49:35] これですね、あの事業効果の説明ですけど
[01:49:39] も、ま、モニターリングによって利用促進
[01:49:41] が図られたことですね。あ、私、ま、その
[01:49:46] 効果っていうのは分かっておりますけども
[01:49:47] 、これ多分デメリットもあると思うんです
[01:49:49] よ。この辺も多分モニタニングによって
[01:49:54] あの担当化は理解してると思うんですけど
[01:49:57] 、その辺をちょっと
[01:49:59] お知らせいいただきたいんですけども、
[01:50:01] 東川農林課長
[01:50:03] はい。え、若す議員の質問にお答えいたし
[01:50:06] ます。え、この事業ですね、あの、委員も
[01:50:10] ご指摘の通り令和7年度からですね、えっ
[01:50:13] と、行っている事業でおりまして、ま、
[01:50:16] 昨年やった実績としては、えっと、消化の
[01:50:21] 肥料分析、え、専門機関に対する分析の
[01:50:24] 由来ですとか、あと消化機の利用支援事業
[01:50:27] ということで、えっと、農家さんにですね
[01:50:30] 、え、散婦等のお願いをして、え、使って
[01:50:33] いただいてる農家さんが、え、新規知の1
[01:50:36] つを一見合わせて、え、今3件のですね、
[01:50:39] 農家さんにですね、消費の活用支援事業を
[01:50:42] 、え、利用していただいてるところです。
[01:50:45] その他にですね、え、消費の利用
[01:50:47] モニタリング授業ということでですね、
[01:50:50] えっと、国道の課壇に散布ですとか、あと
[01:50:54] 町民促進事業ということで、えっと、農京
[01:50:58] の収穫祭にですね、無料配布を行っている
[01:51:01] ようなところであります。なかなかですね
[01:51:03] 、その、え、分析等の中であのデメリッ
[01:51:07] トっていうところはまだ把握してはいない
[01:51:09] ところなんですが、ま、ただ一般的に聞か
[01:51:12] れてるのは、あの、利用している農家さん
[01:51:14] からは、え、大型機会で入るので補助が
[01:51:16] 硬くなるですとか、あと紹介の事態の中に
[01:51:20] ですね、まだうんとちょっと趣旨が残って
[01:51:22] て、あの、趣旨があ、雑草関係が履いて
[01:51:26] くるとかっていう、そういったことがあ
[01:51:27] るっていうところですね。
[01:51:29] ま、それがデメリットになるのかどうか噛み合ってるどうか分かりませんが、そういったところは聞いているところであります。以上であります。
[01:51:37] 若杉委員
[01:51:40] はい。あのネメリットの面についてはあの聞きたかったことはそこなんですけど、ま、そこは分かってます。あの最初に今答弁の中でメリットはご存知でないて言いましたよね。その辺、その辺がですね。
[01:51:57] ちょっともう1度答弁願いたいんですけど
[01:51:58] 、あの、我々その使う立場としてみれば、
[01:52:05] あの、
[01:52:07] 設計となった、やった中でのその無理無駄
[01:52:11] のなく施工するって形が本来の姿なんです
[01:52:15] けども、ま、その
[01:52:18] 今のその課長のメリットの理解度が分から
[01:52:22] ないってこと自体が私が分からないんです
[01:52:24] けども、ああの、
[01:52:27] 分かってる、分かります。質問の意味が。
[01:52:29] その辺理
[01:52:32] が測られたっちゅう効果のその
[01:52:37] 事業の説明だったもんですから分かっての
[01:52:41] デメリットだったのかなと思ってそのもう
[01:52:43] 1度ちょっとお答え願いたいんですけども
[01:52:46] 東川農林課長議員[咳払い]の質問にお
[01:52:49] 答えいたします。ちょっと私のですね、
[01:52:51] 滑舌が悪くと申し訳ありません。
[01:52:53] デメリットが分からないって言ったわけで
[01:52:54] 、あのメリットは分からないとは言って
[01:52:56] ないところであります。はい。その上で
[01:52:58] ですね、あのこの事業ですけれども当然
[01:53:01] あの町全体のですね、えっと噴尿処理解決
[01:53:05] するための、え、一環の授業ということで
[01:53:08] 取り組んでいるところであります。え、
[01:53:12] 紹介のですね、え、利用促進にですね、え
[01:53:15] 、指する支援ですとか調査また町民の理解
[01:53:18] をですね、え、引き続き高めて行う、行い
[01:53:20] まして、あの、紹介の利用、えっと、
[01:53:24] 大きくはその退、え、関係のですね、解決
[01:53:29] するためにですね、え、進めてまいりたい
[01:53:31] と思います。以上であります。若杉
[01:53:36] の度高めるためのね、ま、使い方は色々
[01:53:40] あると思うんです。ま、あの、例えば家庭
[01:53:43] 向き、ま、先ほど言いましたけども、課壇
[01:53:47] ね、色々あります。ただ私の昔からの思い
[01:53:50] はですね、これだけ森林の町なんですから
[01:53:53] 、森林に対してどうにかそういうことを
[01:53:56] できないのかなって、そういうこともね、
[01:53:58] 私もあることに言ってんですよ。その辺も
[01:54:01] これからのその検討材料としてですね、
[01:54:04] 進んでいただければありがたいと思います
[01:54:05] けど、よろしくお願いいたします。
[01:54:08] 東川農林課長、
[01:54:10] お答えをいたします。えっと先ほどちょっと答弁漏れしたんですけれども、えっと借り勝ちのですね、円のですね、梅の木にもですね、試験的にですね、あの紹介の方散布して実績はあるというところであります。
[01:54:10] [咳払い]
[01:54:25] ま、その上でですね、あの、さらにですね、あの、委員の、えっと、指摘を踏まえまして、どういった形で、あの、人関係にもですね、えっと、活用していけるかというところも踏まえてですね、継続して実施してまいりたいと思います。以上であります。はい。
[01:54:43] 他にありませんか?なければ、え、農林水産業費を終了いたします。え、残事休憩いたします。
[01:54:55] 午前の部を終わらせていただきます。え、
[01:54:58] 13時まで休憩をいたします。
